,loss,acc,val_loss,val_acc,lr
0,0.31268855223059655,0.8252734541893005,0.1417500420793658,0.9783935546875,0.0010000000474974513
1,0.27845364243537185,0.8382577896118164,0.11813326650008094,0.9796981811523438,0.0010000000474974513
2,0.2695205809623003,0.8407695293426514,0.12276260681028361,0.9734878540039062,0.0010000000474974513
3,0.26269263184070585,0.8432695269584656,0.11788668463850627,0.9742813110351562,0.0010000000474974513
4,0.25329084860160944,0.8489882946014404,0.11916298809592263,0.974090576171875,0.0010000000474974513
5,0.2514422645866871,0.8486679792404175,0.1123328089088318,0.9778518676757812,0.0010000000474974513
6,0.2539330169931054,0.8477890491485596,0.11457613370657782,0.979522705078125,0.0010000000474974513
7,0.2540152783840895,0.8478124737739563,0.13420637130911928,0.9749526977539062,0.0010000000474974513
8,0.2474821320027113,0.8498906493186951,0.10456586536383838,0.9761428833007812,0.0010000000474974513
9,0.2382873303517699,0.8556171655654907,0.1131719353106746,0.9741592407226562,0.0010000000474974513
10,0.2411867247931659,0.854128897190094,0.120692883614538,0.9715652465820312,0.0010000000474974513
11,0.24489359514415265,0.8523125052452087,0.12946804997045547,0.9748458862304688,0.0010000000474974513
12,0.2453652271144092,0.8500078320503235,0.1053156969792326,0.9763412475585938,0.0010000000474974513
13,0.24637525287270545,0.8517265915870667,0.11957581667957129,0.9718246459960938,0.0010000000474974513
14,0.2395591753013432,0.854199230670929,0.1268156509649998,0.9711227416992188,0.0010000000474974513
15,0.2477989428713918,0.849539041519165,0.1207147137974971,0.9731369018554688,0.00010000000474974513
16,0.23572914918139576,0.8560624718666077,0.11989125940817758,0.9720840454101562,0.00010000000474974513
17,0.23197646934166552,0.8582109212875366,0.12601059884400456,0.9669876098632812,0.00010000000474974513
18,0.2319979792609811,0.8577499985694885,0.1338530310713395,0.9637985229492188,0.00010000000474974513
19,0.22974066107720137,0.8594921827316284,0.11792638408951461,0.9695816040039062,0.00010000000474974513
